Artist;Average Score
Roberta Flack;94.5
The Jimi Hendrix Experience;94.33333333333333
Caetano Veloso, Gal Costa, Gilberto Gil, Nara LeÃ£o, Os Mutantes E Tom ZÃ©;94.0
Stan Getz & JoÃ£o Gilberto;94.0
Kashiwa Daisuke;94.0
Milton Nascimento & LÃ´ Borges;93.5
Sarah Vaughan;93.5
George Benson;93.0
Max Roach;93.0
Jamie Lenman;93.0
The Congos;92.5
Grant Green;92.5
Ahmad Jamal;92.5
Derek and The Dominos;92.0
Crosby, Stills, Nash & Young;92.0
Oliver Nelson;92.0
The Dave Brubeck Quartet;92.0
Duke Ellington & John Coltrane;92.0
Yusef Lateef;92.0
Cannonball Adderley;92.0
Milt Jackson & John Coltrane;92.0
Michael Hurley, The Unholy Modal Rounders, Jeffrey Frederick, & The Clamtones;92.0
Breach;91.5
Valerio Tricoli;91.5
Vinterland;91.5
Waylon Jennings;91.5
Almendra;91.5
Dismember;91.5
Sean McCann;91.5
Nick Drake;91.16666666666667
James Carr;91.0
Global Communication;91.0
Rahsaan Roland Kirk;91.0
Paul McCartney & Linda McCartney;91.0
Keith Jarrett;91.0
The Modern Lovers;91.0
Empire! Empire! (I Was A Lonely Estate);91.0
Wayne Shorter;91.0
Maria Schneider Orchestra;91.0
Andrew Hill;90.75
Hank Mobley;90.5
Chick Corea;90.5
Burning Spear;90.5
Grover Washington, Jr.;90.5
Esoteric;90.5
The Velvet Underground & Nico;90.5
Robert Cray;90.5
Donald Byrd;90.5
Sex Pistols;90.5
Gil Scott-Heron and Brian Jackson;90.5
The Brave Little Abacus;90.5
Night Verses;90.5
Mahavishnu Orchestra;90.5
Idrees Sulieman, John Coltrane, Kenny Burrell & Tommy Flanagan;90.5
Freddie Hubbard;90.0
John Coltrane & Johnny Hartman;90.0
Jon Hassell & Brian Eno;90.0
The Everly Brothers;90.0
Julius Eastman;90.0
John Mayall with Eric Clapton;90.0
Marcos Valle;90.0
Fishmans;90.0
Silencer;90.0
Jeff Buckley;90.0
Madvillain;90.0
Necrophagist;90.0
Gram Parsons;89.75
The Horace Silver Quintet;89.5
Taj Mahal;89.5
Moby Grape;89.5
Stan Getz & Charlie Byrd;89.5
Lauryn Hill;89.5
Sonny Clark;89.5
Juanes;89.5
AntÃ´nio Carlos Jobim;89.5
Albert Ayler;89.5
The Wildhearts;89.25
Ornette Coleman;89.2
Carl Perkins;89.0
Etta James;89.0
Albert King;89.0
Lyle Lovett;89.0
The Paul Butterfield Blues Band;89.0
Marius Neset;89.0
Alice Coltrane;89.0
Bill Withers;89.0
Sisteray;89.0
Freestyle Fellowship;89.0
Arvo PÃ¤rt;89.0
Stevie Ray Vaughan & Double Trouble;89.0
Shadow of Intent;89.0
Woody Guthrie;89.0
Crosby, Stills & Nash;89.0
Louis Prima;89.0
Cecil Taylor;89.0
Dexter Gordon;89.0
D'Angelo and The Vanguard;89.0
Richard & Linda Thompson;88.75
Don Cherry;88.75
Weather Report;88.66666666666667
Peter BrÃ¶tzmann;88.5
John Martyn;88.5
Leaders Of The New School;88.5
JoÃ£o Gilberto;88.5
Junior Murvin;88.5
Secos & Molhados;88.5
Traumprinz;88.5
Company Flow;88.5
Sam Cooke;88.5
Anita Baker;88.5
Jackie McLean;88.5
Weakling;88.5
Herb Alpert & The Tijuana Brass;88.5
Bud Powell;88.5
