Artist	Title	Release Year	Genre	Metacritic Critic Score
Fiona Apple	Fetch the Bolt Cutters	2020	Art Pop	98.0
Brian Wilson	SMiLE	2004	Rock	97.0
Loretta Lynn	Van Lear Rose	2004	Country	97.0
The Wonder Years	The Greatest Generation	2013	Pop Punk	97.0
Kendrick Lamar	To Pimp a Butterfly	2015	Hip Hop	96.0
Nick Cave & The Bad Seeds	Ghosteen	2019	Singer-Songwriter	96.0
Rose City Band	Summerlong	2020	Country Rock	95.0
D'Angelo and The Vanguard	Black Messiah	2014	Neo-Soul	95.0
Kendrick Lamar	DAMN.	2017	Hip Hop	95.0
Nick Cave & The Bad Seeds	Skeleton Tree	2016	Art Rock	95.0
Joyce Manor	Of All Things I Will Soon Grow Tired	2012	Punk	95.0
Doe	Some Things Last Longer Than You	2016	Indie Rock	95.0
Employed to Serve	Eternal Forward Motion	2019	Post-Hardcore	95.0
OutKast	Stankonia	2000	Hip Hop	95.0
Bob Dylan	Rough and Rowdy Ways	2020	Singer-Songwriter	95.0
The Chariot	One Wing	2012	Metalcore	94.0
Kanye West	My Beautiful Dark Twisted Fantasy	2010	Hip Hop	94.0
Sleep	Dopesmoker	2003	Stoner Metal	94.0
Lankum	The Livelong Day	2019	Folk	94.0
Ali Farka TourÃ©	Savane	2006	World	94.0
Mount Eerie	A Crow Looked at Me	2017	Singer-Songwriter	93.0
Noname	Room 25	2018	Hip Hop	93.0
Bob Dylan	Love and Theft	2001	Singer-Songwriter	93.0
Madvillain	Madvillainy	2004	Hip Hop	93.0
Saba	Care for Me	2018	Hip Hop	93.0
The Menzingers	On the Impossible Past	2012	Punk Rock	93.0
Mary Gauthier	Rifles & Rosary Beads	2018	Americana	92.0
Frank Ocean	Channel Orange	2012	Alternative R&B	92.0
Deafheaven	Sunbather	2013	Blackgaze	92.0
Every Time I Die	From Parts Unknown	2014	Metalcore	92.0
Ry Cooder	Pull Up Some Dust and Sit Down	2011	Folk	92.0
Rolo Tomassi	Time Will Die and Love Will Bury It	2018	Mathcore	92.0
The White Stripes	Elephant	2003	Garage Rock	92.0
Leonard Cohen	You Want It Darker	2016	Singer-Songwriter	92.0
UnderÃ¸ath	Lost in the Sound of Separation	2008	Metalcore	92.0
BeyoncÃ©	Lemonade	2016	R&B	92.0
Paradise Lost	Obsidian	2020	Gothic Metal	92.0
Marius Neset	Golden Xplosion	2011	Jazz	92.0
Behemoth	The Satanist	2014	Death Metal	92.0
Dizzee Rascal	Boy in da Corner	2003	Grime	92.0
Aesop Rock	Labor Days	2001	Hip Hop	92.0
'68	Two Parts Viper	2017	Noise Rock	92.0
The Wonder Years	No Closer to Heaven	2015	Pop Punk	91.0
Lorde	Melodrama	2017	Art Pop	91.0
Blood Incantation	Hidden History of the Human Race	2019	Death Metal	91.0
The Hotelier	Home, Like Noplace is There	2014	Emo	91.0
